 
****************************************
Report : area
Design : lenet
Version: R-2020.09-SP5
Date   : Sun Apr 19 11:53:43 2026
****************************************

Library(s) Used:

    slow (File: /home/m110/m110061644/synopsys_tech_file/slow.db)

Number of ports:                        10593
Number of nets:                         32669
Number of cells:                        18533
Number of combinational cells:          16920
Number of sequential cells:              1178
Number of macros/black boxes:               0
Number of buf/inv:                       2682
Number of references:                     234

Combinational area:             258800.883798
Buf/Inv area:                     9960.343054
Noncombinational area:           31074.302298
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                289875.186095
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
gen_macs[13].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_26_DW02_mult_0_DW02_mult_11
gen_macs[13].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_26_DW01_add_1_DW01_add_58
gen_macs[14].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_25
gen_macs[14].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_25_DW01_add_0_DW01_add_65
gen_macs[14].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_25_DW02_mult_0_DW02_mult_15
gen_macs[14].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_25_DW01_add_1_DW01_add_66
gen_macs[15].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_24
gen_macs[15].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_24_DW01_add_0_DW01_add_37
gen_macs[15].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_24_DW02_mult_0_DW02_mult_1
gen_macs[15].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_24_DW01_add_1_DW01_add_38
gen_macs[16].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_23
gen_macs[16].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_23_DW01_add_0_DW01_add_45
gen_macs[16].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_23_DW02_mult_0_DW02_mult_5
gen_macs[16].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_23_DW01_add_1_DW01_add_46
gen_macs[17].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_22
gen_macs[17].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_22_DW01_add_0_DW01_add_51
gen_macs[17].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_22_DW02_mult_0_DW02_mult_8
gen_macs[17].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_22_DW01_add_1_DW01_add_52
gen_macs[18].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_21
gen_macs[18].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_21_DW01_add_0_DW01_add_59
gen_macs[18].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_21_DW02_mult_0_DW02_mult_12
gen_macs[18].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_21_DW01_add_1_DW01_add_60
gen_macs[19].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_20
gen_macs[19].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_20_DW01_add_0_DW01_add_67
gen_macs[19].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_20_DW02_mult_0_DW02_mult_16
gen_macs[19].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_20_DW01_add_1_DW01_add_68
